Name,Sector,Industry,P/E ratio,PEG ratio,EPS,DivYield,PtB,PtS,EBITDA,Shares,Market Cap,52wk range
AACC,Finance,Finance Companies,11.19,1.07,0.48,N/A,1.1,0.71,46.20M,30.78M,165.90M,3.97 - 8.16,"
</"
AAIT,,,N/A,N/A,N/A,3.71,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
AAME,Finance,Life Insurance,18.61,N/A,0.18,2.09,0.67,0.52,7.20M,21.10M,70.70M,2.01 - 3.40,"
</"
AAON,Capital Goods,Industrial Machinery/Components,27.43,2.21,0.829,1.58,4.07,1.93,48.50M,24.53M,566.80M,17.55 - 23.33,"
</"
AAPL,Technology,Computer Manufacturing,10.33,0.74,44.107,1.16,3.36,2.6,59.26B,939.11M,426.00B,435.00 - 705.07,"
</"
AAWW,Transportation,Transportation Services,10.76,1.13,4.189,N/A,0.97,0.75,261.50M,26.45M,1.20B,39.30 - 57.00,"
</"
AAXJ,,,N/A,N/A,N/A,1.73,N/A,N/A,N/A,N/A,N/A,49.07 - 61.94,"
</"
ABAX,Capital Goods,Industrial Machinery/Components,36.77,3.35,1.053,2.58,4.75,5.09,24.90M,21.95M,972.20M,25.56 - 40.78,"
</"
ABCB,Finance,Major Banks,29.08,1.67,0.456,N/A,1.26,2.41,N/A,23.81M,319.10M,10.21 - 13.49,"
</"
ABCD,Consumer Services,Publishing,N/A,N/A,N/A,N/A,1.43,0.44,13.90M,48.30M,65.20M,0.58 - 3.33,"
</"
ABCO,Consumer Services,Other Consumer Services,70.53,2.19,0.769,N/A,7.53,4.56,66.40M,34.83M,1.91B,36.04 - 55.06,"
</"
ABFS,Transportation,Trucking Freight/Courier Services,N/A,2.27,N/A,1.14,0.59,0.13,73.20M,25.62M,262.10M,6.43 - 19.50,"
</"
ABIO,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,N/A,N/A,N/A,N/A,3.98,N/A,N/A,15.38M,10.00M,0.23 - 1.15,"
</"
ABMD,Health Care,Medical/Dental Instruments,41.27,1.38,0.338,N/A,3.83,3.7,17.80M,38.63M,539.60M,11.80 - 26.17,"
</"
ABTL,Technology,"Computer Software: Programming, Data Processing",26.75,1.17,0.151,N/A,1.42,0.54,3.60M,8.86M,35.90M,3.37 - 5.30,"
</"
ACAD,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,19.33,66.75,N/A,56.63M,340.90M,1.29 - 6.88,"
</"
ACAS,Finance,Diversified Investments,2.79,0.85,4.78,N/A,0.77,6.6,427.00M,309.17M,4.11B,8.16 - 13.50,"
</"
ACAT,Capital Goods,Industrial Specialties,12.91,0.83,2.799,N/A,2.93,0.73,73.90M,13.25M,479.70M,30.94 - 47.46,"
</"
ACCL,Technology,Computer Software: Prepackaged Software,45.51,1.25,0.207,N/A,2.12,3.32,14.90M,55.63M,526.30M,7.12 - 9.87,"
</"
ACET,Consumer Durables,Specialty Chemicals,14.91,0.56,0.7,2.01,1.63,0.62,35.70M,27.19M,283.00M,7.48 - 10.81,"
</"
ACFC,Finance,Savings Institutions,N/A,N/A,N/A,N/A,0.2,0.68,N/A,2.53M,8.10M,1.37 - 3.75,"
</"
ACFN,Consumer Services,Military/Government/Technical,N/A,N/A,N/A,1.9,2.3,6.07,N/A,18.02M,137.30M,6.84 - 13.20,"
</"
ACGL,Finance,Property-Casualty Insurers,9.24,1.89,5.023,N/A,1.26,1.92,N/A,136.55M,6.44B,36.08 - 46.45,"
</"
ACHC,Healthcare,Specialized Health Services,25570,1.32,0.001,N/A,4.21,2.85,67.40M,41.83M,1.08B,12.42 - 27.51,"
</"
