Name,Sector,Industry,P/E ratio,PEG ratio,EPS,DivYield,PtB,PtS,EBITDA,Shares,Market Cap,52wk range
A,Capital Goods,Electrical Products,13.69,1.48,3.27,0.89,2.99,2.27,1.42B,347.94M,15.76B,35.32 - 46.28,"
</"
AA,Capital Goods,Metal Fabrications,49.39,2.23,0.179,1.02,0.72,0.4,2.02B,1.07B,9.60B,7.97 - 10.92,"
</"
AAN,Technology,Diversified Commercial Services,13.73,1.15,2.159,0.17,2.04,1.03,306.10M,75.60M,2.26B,24.57 - 32.53,"
</"
AAP,Consumer Services,Other Specialty Stores,14.03,1.42,5.241,0.33,4.69,0.87,842.30M,73.16M,5.39B,60.87 - 93.08,"
</"
AAT,Consumer Services,Real Estate Investment Trusts,167.05,3.23,0.173,2.91,1.86,4.99,132.10M,39.61M,1.17B,21.06 - 29.56,"
</"
AAV,Energy,Oil & Gas Production,N/A,N/A,N/A,N/A,0.42,1.94,128.40M,168.40M,493.40M,2.47 - 4.20,"
</"
AB,Finance,Investment Managers,N/A,2.71,N/A,4.67,1.34,N/A,N/A,105.15M,2.14B,11.44 - 20.81,"
</"
ABB,Consumer Durables,Electrical Products,16.79,1.51,1.275,3.31,2.96,1.26,5.49B,2.29B,50.18B,15.26 - 21.95,"
</"
ABBV,,,N/A,0.66,N/A,1.09,N/A,N/A,9.01B,N/A,N/A,0.00 - 0.00,"
</"
ABC,Health Care,Other Pharmaceuticals,15.62,1.2,2.904,1.32,4.51,0.13,1.43B,232.37M,10.81B,35.48 - 46.59,"
</"
ABG,Consumer Durables,Automotive Aftermarket,13.85,0.58,2.568,N/A,2.91,0.24,194.00M,31.50M,1.13B,21.25 - 36.29,"
</"
ABM,Finance,Diversified Commercial Services,19.26,3.83,1.138,2.67,1.4,0.28,147.70M,54.40M,1.20B,17.85 - 24.61,"
</"
ABR,Consumer Services,Real Estate Investment Trusts,N/A,1.24,N/A,4,0.94,8.75,N/A,31.24M,220.90M,4.17 - 7.35,"
</"
ABT,Consumer Durables,Major Pharmaceuticals,9.11,1.41,3.72,2.58,1.98,1.34,11.30B,1.58B,53.54B,31.64 - 72.47,"
</"
